18395000|00008E66|00000762|\snd\adx\mev\s000200_03_2vir.adx
1839E000|000158F8|00000771|\snd\adx\mev\s000200_04_1kev.adx
183B4000|0000A456|0000077B|\snd\adx\mev\s000200_04_2kev.adx
183BE800|0001123C|0000078A|\snd\adx\mev\s000200_05_1vir.adx
183D0000|00009C88|00000794|\snd\adx\mev\s000200_05_2vir.adx
183DA000|0000F19C|000007A8|\snd\adx\mev\s000200_05_3_1vir.adx
183E9800|0000660A|000007B2|\snd\adx\mev\s000200_05_3_2vir.adx
183F0000|0000C736|000007C4|\snd\adx\mev\s000200_07vir.adx
183FC800|0000A9AE|000007D8|\snd\adx\mev\s000200_08_1vir.adx
18407800|00008B06|000007E2|\snd\adx\mev\s000200_08_2vir.adx
18410800|000075EE|000007F9|\snd\adx\mev\s000310_01shi.adx
18418000|0000A078|0000080D|\snd\adx\mev\s000310_02_1miy.adx
18422800|0000A3B4|00000817|\snd\adx\mev\s000310_02_2miy.adx
1842D000|00007996|00000829|\snd\adx\mev\s000310_03shi.adx
18435000|0000A186|00000836|\snd\adx\mev\s000310_04doc.adx
1843F800|0000659E|00000843|\snd\adx\mev\s000310_05miy.adx
18446000|000068C8|00000850|\snd\adx\mev\s000310_06shi.adx
1844D000|000097C0|0000085D|\snd\adx\mev\s000310_07doc.adx
18456800|000029A4|00000871|\snd\adx\mev\s000310_08_1can.adx
18459800|0000BB66|0000087B|\snd\adx\mev\s000310_08_2can.adx
18465800|00005E60|0000088D|\snd\adx\mev\s000310_09miy.adx
1846B800|00006958|000008AA|\snd\adx\mev\s000400_01_1shi.adx
18472800|0000809E|000008B4|\snd\adx\mev\s000400_01_2shi.adx
1847B000|000060D6|000008C3|\snd\adx\mev\s000400_02_1can.adx
18481800|0000AF3C|000008CD|\snd\adx\mev\s000400_02_2can.adx
1848C800|000079BA|000008DC|\snd\adx\mev\s000400_03_1miy.adx
18494800|0000B9DA|000008E6|\snd\adx\mev\s000400_03_2miy.adx
184A0800|0000B8A8|000008F8|\snd\adx\mev\s000400_04shi.adx
184AC800|00010C42|00000905|\snd\adx\mev\s000400_05miy.adx
184BD800|0000E03E|00000919|\snd\adx\mev\s000400_06_1can.adx
184CC000|0000DF9C|00000923|\snd\adx\mev\s000400_06_2can.adx
184DA000|00006C04|00000932|\snd\adx\mev\s000400_07_1shi.adx
184E1000|000088EA|0000093C|\snd\adx\mev\s000400_07_2shi.adx
184EA000|000056A4|0000094E|\snd\adx\mev\s000400_08can.adx
184EF800|00009A90|00000964|\snd\adx\mev\s000400_09_1_1shi.adx
184F9800|00006EB0|0000096E|\snd\adx\mev\s000400_09_1_2shi.adx
18500800|00007A26|00000980|\snd\adx\mev\s000400_09_2shi.adx
18508800|0000E878|0000098A|\snd\adx\mev\s000400_09_3shi.adx
18517800|00009D72|0000099D|\snd\adx\mev\s000400_10miy.adx
18521800|00010B46|000009B1|\snd\adx\mev\s000400_11_1shi.adx
18532800|000056EC|000009BB|\snd\adx\mev\s000400_11_2shi.adx
18538000|00008728|000009C5|\snd\adx\mev\s000400_11_3shi.adx
18540800|00009862|000009D4|\snd\adx\mev\s000400_12_1can.adx
1854A800|0000F394|000009DE|\snd\adx\mev\s000400_12_2can.adx
1855A000|0000DDB6|000009F0|\snd\adx\mev\s000400_13miy.adx
18568000|000046D2|00000A06|\snd\adx\mev\s000400_14_1_1shi.adx
1856C800|0000BC74|00000A10|\snd\adx\mev\s000400_14_1_2shi.adx
18578800|000062CE|00000A22|\snd\adx\mev\s000400_14_2shi.adx
1857F000|0000C14E|00000A2E|\snd\adx\mev\s000400_15_1shi.adx
1858B800|0000755E|00000A38|\snd\adx\mev\s000400_15_2shi.adx
18593000|0000FB3E|00000A4A|\snd\adx\mev\s000400_16miy.adx
185A3000|00010408|00000A57|\snd\adx\mev\s000400_17shi.adx
185B3800|0000D0C6|00000A6B|\snd\adx\mev\s000400_18_1miy.adx
185C1000|0001053A|00000A75|\snd\adx\mev\s000400_18_2miy.adx
185D1800|0000BE5A|00000A7F|\snd\adx\mev\s000400_18_3miy.adx
185DD800|0000BB9C|00000A91|\snd\adx\mev\s000400_19shi.adx
185E9800|00003B38|00000AA6|\snd\adx\mev\s000400_20_1can.adx
185ED800|0000C00A|00000AB0|\snd\adx\mev\s000400_20_2can.adx
185FA000|0000CFDC|00000ABA|\snd\adx\mev\s000400_20_3can.adx
18607000|00010516|00000AC4|\snd\adx\mev\s000400_20_4can.adx
